"","X5","X6","X8","X24","X29"
"1","Heptranchus","perlo","Heptranchus perlo","27-1000m;248m","x"
"2","Hexanchus","griseus","Hexanchus griseus","j sh; us>91-2490m;300-320m",NA
"3","Hexanchus","nakamurai","Hexanchus nakamurai","90-702m","x"
"4","Rhincodon","typus","Rhincodon typus","0-1928m","1"
"5","Stegostoma","tigrinum","Stegastoma fasciatum","1-90m","1"
"6","Nebrius","ferrugineus","Nebrius ferrugineus","1-70m(440m)","1"
"7","Odontaspis","ferox","Odontaspis ferox","10-1015",NA
"8","Odontaspis","noronhai","Odontaspis noronhai","(35)600-1000m",NA
"9","Carcharodon","carcharias","Carcharodon carcharias","1-1280m",NA
"10","Isurus","oxyrhinchus","Isurus oxyrhinchus","0-750m",NA
"11","Alopias","pelagicus","Alopias pelagicus","0-300m",NA
"12","Alopias","superciliosus","Alopias superciliosus","0-723m",NA
"13","Carcharhinus","albimarginatus","Carcharhinus albimarginatus","1-800m","1"
"14","Carcharhinus","altimus","Carcharhinus altimus","0(25)-810m",NA
"15","Carcharhinus","amblyrhynchoides","Carcharhinus amblyrhynchoides","shallow coastal pelagic","1?"
"16","Carcharhinus","amblyrhynchos","Carcharhinus amblyrhynchos","1-275m","1"
"17","Carcharhinus","falciformis","Carcharhinus falciformis","0-500m","1"
"18","Carcharhinus","galapagensis","Carcharhinus galapagensis","1-286m",NA
"19","Carcharhinus","leucas","Carcharhinus leucas","1-164m(500m)","1"
"20","Carcharhinus","limbatus","Carcharhinus limbatus","0-140m","1"
"21","Carcharhinus","longimanus","Carcharhinus longimanus","1-1082m","o"
"22","Carcharhinus","melanopterus","Carcharhinus melanopterus","1-30m(100m)","1"
"23","Carcharhinus","plumbeus","Carcharhinus plumbeus","1-280m",NA
"24","Galeocerdo","cuvier","Galeocerdo cuvier","1-1112m","1"
"25","Negaprion","acutidens","Negaprion acutidens","1-90m","1"
"26","Prionace","glauca","Prionace glauca","1-1000m","x"
"27","Rhizoprionodon","oligolinx","Rhizoprionodon oligolinx","1-36(145)m","1"
"28","Triaenodon","obesus","Triaenodon obesus","2-100m(330m)","1"
"29","Sphyrna","lewini","Sphyrna lewini","1-1043m","1"
"30","Sphyrna","mokarran","Sphyrna mokorran","1-300m","1"
"31","Sphyrna","unid",NA,NA,NA
"32","Isistius","brasiliensis","Isistius brasiliensis","0(85)-3700m",NA
"33","Squalus","cf mitsukurii cplx",NA,NA,NA
"34","Rhina","ancylostomus","Rhina anclystoma","3-90m","1"
"35","Rhynchobatus","australiae","Rhynchobatus australiae","1-60m","1"
"36","Tetronarce","formosa","Tetronarce formosa","335–340 m","?"
"37","Tetronarce","sp","Tetronarce sp","sh-dslp","1"
"38","Pteroplatytrygon","violacea","Pteroplatytrygon violacea","1-240m",NA
"39","Taeniurops","meyeni","Taeniurops meyeni","1-439m","1"
"40","Neotrygon","kuhlii","Neotrygon kuhli",NA,"1"
"41","Himantura","leoparda","Himantura leoparda","sh-70m",NA
"42","Himantura","uarnak","Himantura uarnak",".5-50m","1"
"43","Pateobatis","fai","Pateobatis fai","2-70(200)m","1"
"44","Urogymnus","asperrimus","Urogymnus asperrimus","2-100m","1"
"45","Urogymnus","granulatus","Urogymnus granulatus","1-85m","1"
"46","Pastinachus","ater","Pastinachus ater","1-60m","1"
"47","Plesiobatis","daviesi","Plesiobatis daviesi","44->800m; Hi 185-780m",NA
"48","Aetomylaeus","vespertilio","Aetomylaeus vespertilio","inshore-110m","1"
"49","Aetobatus","ocellatus","Aetobatus ocellatus","1-90m","1"
"50","Mobula","alfredi","Mobula alfredi","0-100m","1"
"51","Mobula","mobular","Mobula mobular","0-50m","1"
"52","Mobula","sp.","Mobula sp.",NA,NA
"53","Mobula","tarapacana","Mobula tarapacana","0-30m","?"
"54","Megalops","cyprinoides","Megalops cyprinoides","1-50m","1"
"55","Albula","argentea","Albula argentea","2-50m","e"
"56","Albula","glossodonta","Albula glossodonta","1-50m","1"
"57","Albula","unid sp",NA,NA,NA
"58","Protanguilla","palau","Protanguilla palau","35m","1"
"59","Anguilla","marmorata","Anguilla marmorata",NA,"1"
"60","Anguilla","bicolor","Anguilla pacifica",NA,"1"
"61","Anguilla","unid. sp.",NA,NA,NA
"62","Moringua","abbreviata","Moringua abbreviata",NA,NA
"63","Moringua","ferruginea","Moringua ferruginea","1-40m","1"
"64","Moringua","javanica","Moringua javanica","1-15m","1"
"65","Moringua","microchir","Moringua microchir","3-20m","1"
"66","Moringua","unid. Spp.",NA,NA,NA
"67","Boehlkenchelys","longidentata","Boehlkenchelys longidentata","18-24m","1"
"68","Chilorhinus","platyrhynchus","Chilorhinus platyrhynchus","7-200m","1"
"69","Kaupichthys","atronasus","Kaupichthys atronasus","2-15m","1"
"70","Kaupichthys","brachychirus","Kaupichthys brachychirus","6-45m","1"
"71","Kaupichthys","diodontus","Kaupichthys diodontus","0-56(95?)m","1"
"72","Kaupichthys","spp.",NA,NA,NA
"73","unid","unid spp",NA,NA,NA
"74","Xenoconger","fryeri","Xenoconger fryeri","1-5m","1"
"75","Myroconger",NA,NA,"320-640m",NA
"76","Myroconger",NA,NA,"200m",NA
"77","Echidna","delicatula","Echidna delicatula","1-50m","1"
"78","Echidna","leucotaenia","Echidna leucotaenia","1-50m",NA
"79","Echidna","nebulosa","Echidna nebulosa","1-48m","1"
"80","Echidna","polyzona","Echidna polyzona","1-20m","1"
"81","Echidna","unicolor","Echidna unicolor","tidepools-25m","1"
"82","Enchelycore","bayeri","Enchelycore bayeri","1.5-64m","1"
"83","Enchelycore","bikiniensis","Enchelycore bikiniensis","shallow","1"
"84","Enchelycore","kamara","Enchelycore kamara",NA,"1"
"85","Enchelycore","schismatorhynchus","Enchelycore schismatorhynchus","3-35m","1"
"86","Enchelynassa","canina","Enchelynassa canina","1-30m",NA
"87","Gymnomuraena","zebra","Gymnomuraena zebra","0.5-50m","1"
"88","Gymnothorax","berndti","Gymnothorax berndti","40-350m; ≥128m in HI","1"
"89","Gymnothorax","breedeni","Gymnothorax breedeni","5-40m","1"
"90","Gymnothorax","buroensis","Gymnothorax buroensis","1-25m","1"
"91","Gymnothorax","neglectus","Gymnothorax neglectus","337-374m",NA
"92","Gymnothorax","pseudothyrsoideus","Gymnothorax pseudothyrsoideus",NA,"1"
"93","Gymnothorax","chilospilus","Gymnothorax chilospilus","1-45m","1"
"94","Gymnothorax","elegans","Gymnothorax elegans","92-180(400)m",NA
"95","Gymnothorax","enigmaticus","Gymnothorax enigmaticus","1-15m","1"
"96","Gymnothorax","fimbriatus","Gymnothorax fimbriatus","1-50m","1"
"97","Gymnothorax","flavimarginatus","Gymnothorax flavimarginatus","0.5-150m","1"
"98","Gymnothorax","fuscomaculatus","Gymnothorax fuscomaculatus","1-22m","1"
"99","Gymnothorax","gracilicauda","Gymnothorax gracilicauda","1-20m","1"
"100","Gymnothorax","isingteena","Gymnothorax isingteena","3-30m","1"
"101","Gymnothorax","javanicus","Gymnothorax javanicus",".3-50m","1"
"102","Gymnothorax","kontodontos","Gymnothorax kontodontos","6->24m","e"
"103","Gymnothorax","margaritophorus","Gymnothorax margaritophorus","1-25m","1"
"104","Gymnothorax","marshallensis","Gymnothorax marshallensis","1-10m","1"
"105","Gymnothorax","melatremus","Gymnothorax melatremus","1-58m","1"
"106","Gymnothorax","meleagris","Gymnothorax meleagris","1-64m","1"
"107","Gymnothorax","microstictus","Gymnothorax microstictus","5-36m","1"
"108","Gymnothorax","monochrous","Gymnothorax monochrous","1-20m","1"
"109","Gymnothorax","monostigma","Gymnothorax monostigma","surge ch.","1"
"110","Gymnothorax","neglectus","Gymnothorax neglectus","238mGuam","1"
"111","Gymnothorax","nudivomer","Gymnothorax nudivomer","3-271m",NA
"112","Gymnothorax","pindae","Gymnothorax pindae","1-43m","1"
"113","Gymnothorax","polyuranodon","Gymnothorax polyuranodon",NA,"1"
"114","Gymnothorax","pseudoherrei","Gymnothorax pseudoherrei","1-15m","1"
"115","Gymnothorax","reevesii","Gymnothorax reevesii","3-55m","1"
"116","Gymnothorax","richardsonii","Gymnothorax richardsoni","1-12m","1"
"117","Gymnothorax","robinsi","Gymnothorax robinsi","3-35m","1"
"118","Gymnothorax","rueppelliae","Gymnothorax rueppellii","1-55m","1"
"119","Gymnothorax","sp A Marianas cf intesi",NA,"279-280m",NA
