"","genus","species","NLU","MLN","SLN","FLK","HLO","OTM","OOM","LCN","LLN","ULN","TLN","NLN","OLO","OOO","BCM","NCN","RCA","IBK","HLM","NLK","CLM","GLK","Species"
"1","Abudefduf","lorenzi",0,"0",0,"0",0,"0",1,0,0,1,0,"0","0",1,"0",0,0,0,"0","0","0",0,"Abudefduf lorenzi"
"2","Abudefduf","septemfasciatus",0,"0",0,"0",0,"0",0,1,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Abudefduf septemfasciatus"
"3","Abudefduf","sexfasciatus",0,"0",0,"0",0,"0",1,0,0,1,0,"0","0",1,"0",0,0,0,"0","0","0",0,"Abudefduf sexfasciatus"
"4","Acanthurus","nigricauda",0,"1",0,"0",0,"0",0,0,0,1,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Acanthurus nigricauda"
"5","Acanthurus","triostegus",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Acanthurus triostegus"
"6","Acanthurus","xanthopterus",1,"1",0,"1",1,"0",0,0,1,1,1,"1","1",0,"1",0,1,1,"1","0","0",0,"Acanthurus xanthopterus"
"7","Acanthurus","sp",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,1,0,"0","0","0",0,"Acanthurus sp"
"8","Acentrogobius","janthinopterus",0,"0",1,"0",0,"1",0,0,0,0,0,"0","0",0,"1",0,0,0,"1","1","1",1,"Acentrogobius janthinopterus"
"9","Amblyeleotris","gymnocephala",0,"1",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Amblyeleotris gymnocephala"
"10","Amblyglyphidodon","curacao",0,"1",0,"0",1,"0",1,0,1,0,0,"0","0",1,"0",0,1,1,"0","0","0",0,"Amblyglyphidodon curacao"
"11","Amblygobius","buanensis",1,"1",0,"1",1,"0",1,1,1,1,0,"1","1",0,"0",0,1,0,"0","0","0",0,"Amblygobius buanensis"
"12","Amblygobius","decussatus",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",1,0,1,"0","0","0",0,"Amblygobius decussatus"
"13","Amblygobius","esakiae",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,1,0,"0","0","0",0,"Amblygobius esakiae"
"14","Amblygobius","linki",0,"0",0,"1",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Amblygobius linki"
"15","Amblygobius","phalaena",0,"1",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Amblygobius phalaena"
"16","Koumansetta","rainfordi",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Koumansetta rainfordi"
"17","Amphiprion","clarkii",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Amphiprion clarkii"
"18","Ancistrogobius","dipus",0,"0",0,"0",0,"0",0,0,0,0,0,"1","0",0,"0",0,0,0,"0","0","0",0,"Ancistrogobius dipus"
"19","Apogonichthyoides","melas",0,"0",0,"0",0,"0",0,0,0,0,0,"1","0",0,"0",0,0,0,"0","0","0",0,"Apogonichthyoides melas"
"20","Arcygobius","baliurus",0,"0",0,"0",0,"0",0,0,0,1,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Arcygobius baliurus"
"21","Arothron","reticularis",0,"0",0,"0",0,"0",0,0,0,0,1,"0","0",0,"0",0,0,0,"0","0","0",0,"Arothron reticularis"
"22","Asterropteryx","semipunctata",0,"0",0,"0",0,"0",0,0,1,1,0,"0","0",0,"0",0,1,0,"0","0","0",0,"Asterropteryx semipunctata"
"23","Asterropteryx","sp",0,"0",0,"1",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Asterropteryx sp"
"24","Atherinomorus","endrachtensis",0,"0",0,"0",0,"1",1,0,1,1,1,"1","1",1,"0",1,0,0,"1","0","0",0,"Atherinomorus endrachtensis"
"25","Atherinomorus","sp",1,"0",0,"1",0,"0",1,1,1,1,1,"1","1",1,"1",0,0,0,"0","0","0",0,"Atherinomorus sp"
"26","Atule","mate",0,"0",0,"0",0,"0",1,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Atule mate"
"27","Balistoides","viridescens",0,"1",0,"0",0,"0",1,0,1,1,0,"1","0",0,"0",0,0,1,"0","0","0",0,"Balistoides viridescens"
"28","Bolbometopon","muricatum",0,"0",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",1,0,1,"0","0","0",0,"Bolbometopon muricatum"
"29","Caesio","caerulaurea",0,"0",0,"0",1,"0",0,0,0,0,0,"1","0",0,"0",0,0,0,"0","0","0",0,"Caesio caerulaurea"
"30","Caesio","cuning",0,"0",0,"0",1,"0",1,0,1,1,0,"1","0",1,"0",1,1,1,"1","0","0",0,"Caesio cuning"
"31","Caesio","teres",0,"1",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Caesio teres"
"32","Cantherhines","dumerilii",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Cantherhines dumerilii"
"33","Canthigaster","bennetti",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Canthigaster bennetti"
"34","Canthigaster","solandri",0,"0",0,"0",0,"0",0,1,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Canthigaster solandri"
"35","Caranx","ignobilis",0,"0",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Caranx ignobilis"
"36","Caranx","melampygus",0,"0",0,"0",1,"0",0,0,1,1,0,"1","0",1,"0",0,0,0,"1","0","0",0,"Caranx melampygus"
"37","Caranx","papuensis",0,"1",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Caranx papuensis"
"38","Caranx","sexfasciatus",0,"0",0,"1",0,"0",0,0,1,0,0,"1","1",0,"0",0,0,1,"1","0","0",0,"Caranx sexfasciatus"
"39","Cephalopholis","argus",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",1,"0",0,0,0,"0","0","0",0,"Cephalopholis argus"
"40","Cephalopholis","boenak",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,1,1,"0","0","0",0,"Cephalopholis boenak"
"41","Diplogrammus","goramensis",0,"0",0,"0",0,"0",0,0,1,0,0,"1","0",0,"0",0,0,0,"0","0","0",0,"Diplogrammus goramensis"
"42","Chaetodon","auriga",0,"0",0,"1",1,"0",1,0,1,1,0,"1","1",0,"0",1,1,1,"0","0","0",0,"Chaetodon auriga"
