,Class,Order,Family,Genus,Species,BodyShapeI,Fresh,Brack,Saltwater,DemersPelag,OperculumPresent,DorsalSpinesMax,DorsalSpinesMin,MaxLengthTL,Troph,DepthMin,DepthMax,TempPrefMin,TempPrefMax,FeedingPath,RepGuild1,RepGuild2,ParentalCare
Acanthurus_pyroferus,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_pyroferus,short and / or deep,0,0,1,reef-associated,1,8,8,29,2,4,60,25,28.8,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_sp,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_sp,short and / or deep,0,0,1,reef-associated,1,8.861111111,8.777777778,37.70075016,2.275750005,2.666666667,51.35897436,24.725,28.80277778,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_bariene,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_bariene,short and / or deep,0,0,1,reef-associated,1,9,9,50,2,6,50,24.5,28.4,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_blochii,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_blochii,short and / or deep,0,0,1,reef-associated,1,9,9,54.90000153,2,2,15,24.9,28.8,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_dussumieri,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_dussumieri,short and / or deep,0,0,1,reef-associated,1,9,9,54,2,4,131,20.3,28.9,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_guttatus,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_guttatus,short and / or deep,0,0,1,reef-associated,1,9,9,26,2,0,8,25,29.3,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_japonicus,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_japonicus,short and / or deep,0,0,1,reef-associated,0,9,9,21,2.279999971,1,20,25.8,29.3,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_leucocheilus,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_leucocheilus,short and / or deep,0,0,1,reef-associated,1,9,9,54.90000153,2,3,40,26.2,28.9,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_lineatus,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_lineatus,short and / or deep,0,0,1,reef-associated,1,9,9,38,2,0,15,24.7,29.3,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_maculiceps,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_maculiceps,short and / or deep,0,0,1,reef-associated,1,9,9,48.79999924,2,1,15,25.4,29.2,benthic,nonguarders,open water/substratum egg scatterers,none
