lake_code,year,date,face,depth,temperature,conductivity,salinity,oxygen,pH,PAR,CHL,CHLV,method
CLM,2015,15-Sep-15,North,0,30.66,26.8,23.5,5.36,7.84,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,North,1,30.57,26.9,23.5,5.37,7.87,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,North,2,30.68,27,23.57,5.14,7.84,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,North,3,30.55,36.9,23.5,5.05,7.84,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,North,4,30.6,37,23.57,4.97,7.83,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,North,5,30.76,37.2,23.17,4.52,7.7,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,North,6,30.95,37.74,23.86,4.39,7.77,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,North,7,30.98,37.5,23.86,4.4,7.77,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,North,8,31.07,37.6,24.01,4.42,7.76,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,North,9,31.26,38,24.23,3.78,7.69,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,North,10,31.11,43.9,28.61,0.62,7.41,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,South,0,30.76,37,23.57,5.26,7.9,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,South,1,30.75,37,23.57,5.19,7.9,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,South,2,30.57,37,23.57,5.02,7.87,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,South,3,30.65,37.1,23.64,4.85,7.85,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,South,4,30.74,37.1,23.72,4.82,7.85,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,South,5,30.78,37.4,23.72,4.77,7.85,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,South,6,31.02,37.4,23.87,4.6,7.8,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,South,7,31.03,37.5,23.94,4.53,7.8,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,South,8,30.96,37.5,23.93,4.2,7.77,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,South,9,31.77,39.6,25.46,2.76,7.61,NA,NA,NA,Quanta
CLM,2015,15-Sep-15,South,10,31.11,43.9,28.68,0.33,7.42,NA,NA,NA,Quanta
CLM,2014,25-Jun-14,North,0,31.81,35,21.8,5.31,7.61,2294,11.11,0.01839,DS5
CLM,2014,25-Jun-14,North,1,31.79,35.1,21.86,5.26,7.61,499,11.36,0.01838,DS5
CLM,2014,25-Jun-14,North,2,31.89,35.3,21.99,4.98,7.58,549,14.61,0.02276,DS5
CLM,2014,25-Jun-14,North,3,31.95,35.3,22.05,4.82,7.57,816,15.41,0.02379,DS5
CLM,2014,25-Jun-14,North,4,32.05,35.4,22.09,4.77,7.56,935,16.66,0.02581,DS5
CLM,2014,25-Jun-14,North,5,32.17,35.7,22.33,4.68,7.55,641,20.03,0.03104,DS5
CLM,2014,25-Jun-14,North,6,32.19,35.8,22.37,4.37,7.51,406,23.73,0.03499,DS5
CLM,2014,25-Jun-14,North,7,32.33,36.1,22.55,3.95,7.5,276,25.77,0.03959,DS5
CLM,2014,25-Jun-14,North,8,32.4,36.4,22.78,3.65,7.45,253,32.5,0.049,DS5
CLM,2014,25-Jun-14,North,9,33.05,37.2,23.34,2.22,7.32,239,23.16,0.03256,DS5
CLM,2014,25-Jun-14,North,10,33.5,39.6,24.97,0.89,7.28,152,19.78,0.02898,DS5
CLM,2014,25-Jun-14,North,11,33.08,43.8,28,0.25,7.32,133,15.38,0.02311,DS5
CLM,2014,25-Jun-14,South,0,32.08,35.2,21.98,5.03,7.64,1829,8.89,0.01549,DS5
CLM,2014,25-Jun-14,South,1,32.04,35.3,22.05,4.83,7.62,421,12.66,0.02018,DS5
CLM,2014,25-Jun-14,South,2,32.05,35.4,22.08,5.01,7.63,523,14.27,0.02229,DS5
CLM,2014,25-Jun-14,South,3,32.06,35.4,22.11,4.82,7.61,938,17.86,0.02724,DS5
CLM,2014,25-Jun-14,South,4,32.08,35.6,22.23,4.69,7.61,625,17.84,0.02739,DS5
CLM,2014,25-Jun-14,South,5,32.21,35.8,22.36,4.45,7.56,564,23.06,0.03459,DS5
CLM,2014,25-Jun-14,South,6,32.26,36,22.47,3.79,7.52,503,30.31,0.04409,DS5
CLM,2014,25-Jun-14,South,7,32.34,36.1,22.58,3.76,7.52,366,36.56,0.05114,DS5
CLM,2014,25-Jun-14,South,8,32.44,36.3,22.72,3.56,7.47,221,32.34,0.04752,DS5
CLM,2014,25-Jun-14,South,9,33.29,37.9,23.82,2.31,7.31,183,24.45,0.04412,DS5
CLM,2014,25-Jun-14,South,10,33.57,39.3,24.78,0.57,7.3,128,18.16,0.02641,DS5
CLM,2013,28-Aug-13,North,0,31.15,33.4,21.22,5.94,7.76,936,33.18,0.0266,DS5
CLM,2013,28-Aug-13,North,1,31.52,33.8,21.51,5.81,7.75,1032,32.71,0.0255,DS5
CLM,2013,28-Aug-13,North,2,32.07,35,22.37,5.69,7.68,689,32.57,0.0257,DS5
CLM,2013,28-Aug-13,North,3,32.85,35.6,22.87,5.07,7.64,878,26.03,0.0215,DS5
CLM,2013,28-Aug-13,North,4,32.91,35.8,23.03,4.53,7.62,799,29.28,0.0244,DS5
CLM,2013,28-Aug-13,North,5,33.06,36.2,23.32,4.17,7.6,316,30.69,0.026,DS5
CLM,2013,28-Aug-13,North,6,33.28,36.8,23.7,3.73,7.56,322,29.59,0.0254,DS5
CLM,2013,28-Aug-13,North,7,33.39,37.1,23.96,3.22,7.53,534,25.3,0.0178,DS5
CLM,2013,28-Aug-13,North,8,33.41,37.5,24.27,2.75,7.49,337,10.78,0.0106,DS5
CLM,2013,28-Aug-13,North,9,33.4,37.9,24.55,1.97,7.44,333,21.13,0.0203,DS5
CLM,2013,28-Aug-13,North,10,33.45,39,25.31,0.8,7.36,329,31.84,0.0288,DS5
CLM,2013,28-Aug-13,North,11,33.48,42.4,27.76,0.18,7.44,218,46.32,0.04,DS5
CLM,2013,28-Aug-13,South,0,30.75,33.2,21.06,6,7.85,286,36,0.0289,DS5
CLM,2013,28-Aug-13,South,1,30.74,33.2,21.06,5.99,7.84,176,35.77,0.0304,DS5
CLM,2013,28-Aug-13,South,2,32.56,34.8,22.3,4.93,7.72,217,37.24,0.0299,DS5
CLM,2013,28-Aug-13,South,3,32.85,35.6,22.84,4.84,7.69,223,34.43,0.0279,DS5
CLM,2013,28-Aug-13,South,4,33.02,35.9,23.1,4.54,7.67,191,34.47,0.0287,DS5
CLM,2013,28-Aug-13,South,5,33.17,36.4,23.43,4.19,7.63,170,33.04,0.0261,DS5
CLM,2013,28-Aug-13,South,6,33.42,36.9,23.79,3.01,7.58,145,36.74,0.0282,DS5
CLM,2013,28-Aug-13,South,7,33.41,37.1,23.98,3.04,7.59,131,38.19,0.0307,DS5
CLM,2013,28-Aug-13,South,8,33.43,37.5,24.23,2.69,7.55,118,34.07,0.0285,DS5
CLM,2013,28-Aug-13,South,9,33.42,38,24.6,1.98,7.47,108,19.51,0.0171,DS5
CLM,2013,28-Aug-13,South,10,33.45,39,25.33,0.87,7.4,100,33.11,0.0296,DS5
CLM,2013,28-Aug-13,South,11,33.47,42.3,27.73,0.17,7.47,95,42.92,0.0404,DS5
CLM,2012,4-Jun-12,North,0,31.89,33.12,21.06,5.14,7.62,1154,26.24,0.0207,DS5
CLM,2012,4-Jun-12,North,1,31.99,33.22,21.13,4.89,7.62,321,26.81,0.0208,DS5
CLM,2012,4-Jun-12,North,2,32.44,33.64,21.45,4.55,7.6,567,26.08,0.0202,DS5
CLM,2012,4-Jun-12,North,3,32.72,34.11,21.79,4.31,7.59,777,31.11,0.0241,DS5
CLM,2012,4-Jun-12,North,4,32.68,34.23,21.87,4.06,7.58,670,37.03,0.0273,DS5
CLM,2012,4-Jun-12,North,5,32.37,34.2,21.84,3.86,7.53,494,30.1,0.0218,DS5
CLM,2012,4-Jun-12,North,6,32.43,34.54,22.09,3.53,7.55,380,25.41,0.0206,DS5
CLM,2012,4-Jun-12,North,7,32.54,34.72,22.22,3.44,7.53,275,29.24,0.0225,DS5
CLM,2012,4-Jun-12,North,8,32.63,34.97,22.4,3.26,7.53,203,29.35,0.0226,DS5
CLM,2012,4-Jun-12,North,9,33.39,36.54,23.55,1.92,7.44,143,67.78,0.0466,DS5
CLM,2012,4-Jun-12,North,10,33.84,40.97,26.77,0.35,7.4,86,54.44,0.0363,DS5
CLM,2012,4-Jun-12,South,0,31.48,32.6,20.68,5.42,7.72,1189,22.67,0.0182,DS5
CLM,2012,4-Jun-12,South,1,31.46,32.64,20.7,5.41,7.72,458,22.78,0.0183,DS5
CLM,2012,4-Jun-12,South,2,32.54,33.81,21.57,4.31,7.6,480,26.22,0.0204,DS5
CLM,2012,4-Jun-12,South,3,32.8,34.11,21.79,4.07,7.58,406,30.17,0.023,DS5
CLM,2012,4-Jun-12,South,4,32.7,34.23,21.88,3.68,7.54,326,32.86,0.0246,DS5
CLM,2012,4-Jun-12,South,5,32.64,34.39,21.99,3.78,7.58,276,34.54,0.0257,DS5
CLM,2012,4-Jun-12,South,6,32.57,34.52,22.08,3.83,7.58,249,40.87,0.0297,DS5
CLM,2012,4-Jun-12,South,7,32.58,34.68,22.19,3.17,7.51,143,23.97,0.019,DS5
CLM,2012,4-Jun-12,South,8,32.55,34.89,22.34,3.03,7.52,138,26.49,0.0207,DS5
CLM,2012,4-Jun-12,South,9,33.36,36.45,23.48,2.07,7.46,116,60.32,0.0423,DS5
CLM,2012,4-Jun-12,South,10,33.81,41.04,26.82,0.19,7.4,86,53.95,0.0377,DS5
CLM,2011,24-Jun-10,North,0,28.12,23.2,14.12,6.58,7.72,391,23,0.018,DS5
CLM,2011,24-Jun-10,North,1,29.95,29.33,18.35,5.5,7.57,201,31.38,0.0227,DS5
CLM,2011,24-Jun-10,North,2,33.13,32.04,20.35,4.29,7.52,259,46.01,0.032,DS5
CLM,2011,24-Jun-10,North,3,34.48,34.53,22.15,3.77,7.49,270,28.43,0.0211,DS5
CLM,2011,24-Jun-10,North,4,34.76,35.24,22.67,3.62,7.5,219,46.35,0.0326,DS5
CLM,2011,24-Jun-10,North,5,34.56,35.66,22.96,3.51,7.5,175,38.24,0.0275,DS5
CLM,2011,24-Jun-10,North,6,34.24,35.94,23.15,3.18,7.5,130,35.88,0.0262,DS5
CLM,2011,24-Jun-10,North,7,33.94,36.19,23.32,2.52,7.44,93,61.18,0.0421,DS5
CLM,2011,24-Jun-10,North,8,33.76,36.39,23.46,2.48,7.46,67,36.37,0.0258,DS5
CLM,2011,24-Jun-10,North,9,33.72,36.65,23.64,0.32,7.3,48,14.67,0.0126,DS5
CLM,2011,24-Jun-10,South,0,27.77,22.91,13.92,6.62,7.76,703,35.11,0.0257,DS5
CLM,2011,24-Jun-10,South,1,29.55,26.5,16.39,5.13,7.55,432,35.25,0.0255,DS5
CLM,2011,24-Jun-10,South,2,32.75,31.97,20.28,4.33,7.51,495,40.69,0.0295,DS5
CLM,2011,24-Jun-10,South,3,34.61,34.56,22.18,3.23,7.44,398,34.07,0.0249,DS5
CLM,2011,24-Jun-10,South,4,34.8,35.26,22.69,2.93,7.44,298,35.64,0.0267,DS5
CLM,2011,24-Jun-10,South,5,34.58,35.67,22.97,3.13,7.47,232,42.01,0.029,DS5
CLM,2011,24-Jun-10,South,6,34.22,35.99,23.19,2.63,7.42,194,54.32,0.0376,DS5
CLM,2011,24-Jun-10,South,7,33.96,36.17,23.31,2,7.39,148,38.57,0.0279,DS5
CLM,2011,24-Jun-10,South,8,33.75,36.38,23.45,1.89,7.39,114,40.02,0.0285,DS5
CLM,2011,24-Jun-10,South,9,33.69,36.63,23.63,0.72,7.32,85,24.25,0.0189,DS5
CLM,2011,24-Jun-10,South,10,33.74,36.96,23.87,0.16,7.28,64,14.72,0.0126,DS5
FLK,2015,26-Aug-15,North,0.6,30.83,50.5,33.38,5.48,8,NA,NA,NA,Quanta
FLK,2015,26-Aug-15,North,1,30.6,50.9,33.66,4.57,7.94,NA,NA,NA,Quanta
FLK,2015,26-Aug-15,North,2,30.5,51.1,33.8,3.76,7.9,NA,NA,NA,Quanta
FLK,2015,26-Aug-15,North,3,30.34,51.4,34.02,2.87,7.83,NA,NA,NA,Quanta
FLK,2015,26-Aug-15,South,0.6,30.85,50.9,33.67,5.56,8.04,NA,NA,NA,Quanta
FLK,2015,26-Aug-15,South,1,30.63,51.1,33.81,4.84,7.98,NA,NA,NA,Quanta
FLK,2015,26-Aug-15,South,2,30.49,51.2,33.87,4.17,7.93,NA,NA,NA,Quanta
FLK,2015,26-Aug-15,South,3,30.38,51.5,34.1,3.53,7.9,NA,NA,NA,Quanta
FLK,2014,10-Jun-11,North,0.6,32.43,51,33.22,3.86,7.78,1830,1.8,0.02149,DS5
FLK,2014,10-Jun-11,North,1,32.34,51.1,33.26,3.76,7.79,113,2.13,0.02444,DS5
FLK,2014,10-Jun-11,North,2,32.13,51.2,33.34,3.08,7.77,1220,3.87,0.04161,DS5
FLK,2014,10-Jun-11,North,3,32.07,51.3,33.4,1.95,7.7,642,10.75,0.08394,DS5
FLK,2014,10-Jun-11,South,0.6,32.47,51.2,33.31,4.4,7.87,1844,1.95,0.02361,DS5
FLK,2014,10-Jun-11,South,1,32.37,51.2,33.33,3.9,7.86,1609,2.39,0.02809,DS5
FLK,2014,10-Jun-11,South,2,32.17,51.3,33.39,3.65,7.84,1153,4.45,0.0524,DS5
FLK,2014,10-Jun-11,South,3,32.2,51.5,33.54,3.66,7.85,800,17.71,0.21846,DS5
FLK,2013,27-Aug-13,North,0.6,30.44,48.1,31.82,5.26,8.1,1994,61.98,0.036,DS5
FLK,2013,27-Aug-13,North,1,30.5,48.6,32.17,5.31,8.1,262,61.98,0.0468,DS5
FLK,2013,27-Aug-13,North,2,30.51,48.6,32.22,5.46,8.06,1133,61.98,0.0468,DS5
FLK,2013,27-Aug-13,North,3,30.42,48.7,32.26,4.81,8,753,90.02,0.0559,DS5
FLK,2013,27-Aug-13,North,4,30.4,48.7,32.24,4.27,7.94,594,61.98,0.0422,DS5
FLK,2013,27-Aug-13,South,0.6,30.43,48.3,31.98,5.48,8.1,2084,61.98,0.0468,DS5
FLK,2013,27-Aug-13,South,1,30.51,48.7,32.25,5.53,8.13,286,61.98,0.0468,DS5
FLK,2013,27-Aug-13,South,2,30.5,48.7,32.25,5.71,8.09,966,166.51,0.0954,DS5
FLK,2013,27-Aug-13,South,3,30.41,48.7,32.26,5.12,8.03,694,61.98,0.043,DS5
FLK,2013,27-Aug-13,South,4,30.38,48.4,32.02,4.08,7.94,581,61.98,0.0468,DS5
FLK,2012,11-Jun-12,North,0.6,30.5,48.6,31.88,3.51,7.12,NA,NA,NA,old_meter
FLK,2012,11-Jun-12,North,1,31.14,49.4,32.57,3.35,7.16,NA,NA,NA,old_meter
FLK,2012,11-Jun-12,North,2,31.05,49.4,32.57,2.92,7.18,NA,NA,NA,old_meter
FLK,2012,11-Jun-12,North,3,30.91,49.4,32.56,3.02,7.21,NA,NA,NA,old_meter
FLK,2012,11-Jun-12,North,4,30.85,49.6,32.71,2.94,7.25,NA,NA,NA,old_meter
FLK,2012,11-Jun-12,South,0.6,31.12,48.6,31.98,3.68,7.34,NA,NA,NA,old_meter
FLK,2012,11-Jun-12,South,1,31.2,49.4,32.57,3.05,7.37,NA,NA,NA,old_meter
FLK,2012,11-Jun-12,South,2,31.1,49.4,32.57,2.89,7.37,NA,NA,NA,old_meter
FLK,2012,11-Jun-12,South,3,30.96,49.4,32.57,2.94,7.38,NA,NA,NA,old_meter
FLK,2011,7-Jul-11,North,0.6,29.69,47.8,31.03,3.71,7.5,NA,NA,NA,old_meter
FLK,2011,7-Jul-11,North,1,29.76,48.9,32.07,3.72,7.53,NA,NA,NA,old_meter
FLK,2011,7-Jul-11,North,2,29.84,49,32.22,3.45,7.57,NA,NA,NA,old_meter
FLK,2011,7-Jul-11,North,3,29.72,49.2,32.36,3.35,7.59,NA,NA,NA,old_meter
FLK,2011,7-Jul-11,South,0.6,29.57,46.3,30.29,4.3,6.69,NA,NA,NA,old_meter
FLK,2011,7-Jul-11,South,1,29.97,49,32.22,3.99,6.92,NA,NA,NA,old_meter
FLK,2011,7-Jul-11,South,2,29.84,49.1,32.29,3.78,7.07,NA,NA,NA,old_meter
FLK,2011,7-Jul-11,South,3,29.77,49.1,32.29,3.68,7.17,NA,NA,NA,old_meter
GLK,2015,24-Aug-15,East,0,30.32,42.7,27.71,5.76,7.65,NA,NA,NA,Quanta
GLK,2015,24-Aug-15,East,1,29.63,42.9,27.75,1.86,7.28,NA,NA,NA,Quanta
GLK,2015,24-Aug-15,East,2,29.23,42.8,27.74,0.1,7.26,NA,NA,NA,Quanta
GLK,2015,24-Aug-15,West,0,29.95,42.5,27.48,5.15,7.59,NA,NA,NA,Quanta
GLK,2015,24-Aug-15,West,1,29.72,42.8,27.68,0.51,7.23,NA,NA,NA,Quanta
GLK,2014,5-Jun-14,East,0,31.25,41.2,26.16,5.11,7.65,569,4.47,0.0468,DS5
GLK,2014,5-Jun-14,East,1,31.36,41.3,26.24,5,7.65,182,4.47,0.0468,DS5
GLK,2014,5-Jun-14,East,2,31.71,41.7,26.52,5.4,7.69,264,4.47,0.0468,DS5
GLK,2014,5-Jun-14,East,3,31.64,41.8,26.59,5.6,7.72,229,12.61,0.1264,DS5
GLK,2014,5-Jun-14,East,4,31.49,41.9,26.62,5.24,7.69,179,4.47,0.0468,DS5
GLK,2014,5-Jun-14,East,5,31.45,41.9,26.65,5.86,7.74,141,20.59,0.1787,DS5
GLK,2014,5-Jun-14,East,6,31.3,41.9,26.68,4.03,7.56,94,78.78,0.8706,DS5
GLK,2014,5-Jun-14,East,7,31.2,41.9,26.69,0.2,7.34,62,4.47,0.0468,DS5
GLK,2014,5-Jun-14,West,0,31.21,41.4,26.27,4.94,7.58,449,4.47,0.0468,DS5
GLK,2014,5-Jun-14,West,1,31.41,41.5,26.37,4.93,7.6,125,4.47,0.0468,DS5
GLK,2014,5-Jun-14,West,2,31.61,41.6,26.43,5.38,7.66,204,4.47,0.0468,DS5
GLK,2014,5-Jun-14,West,3,31.59,41.8,26.59,5.56,7.69,184,4.47,0.0468,DS5
GLK,2014,5-Jun-14,West,4,31.53,41.9,26.62,6.31,7.75,163,16.67,0.1505,DS5
GLK,2014,5-Jun-14,West,5,31.41,41.9,26.63,5.69,7.69,141,26.49,0.2074,DS5
GLK,2014,5-Jun-14,West,6,31.3,41.9,26.67,2.95,7.45,101,68.36,0.6606,DS5
GLK,2014,5-Jun-14,West,7,31.25,41.9,26.68,0.91,7.28,75,4.47,0.0468,DS5
GLK,2014,5-Jun-14,West,8,31.07,41.9,26.69,0.11,7.55,64,4.47,0.0468,DS5
